over,wickets,total_runs,bat1_runs,bat2_runs,year,final_score
1,3,0,0,3,16,159
2,13,0,8,0,16,159
3,18,1,4,1,16,159
4,25,1,2,8,16,159
5,47,1,18,8,16,159
6,64,1,22,21,16,159
7,68,1,24,23,16,159
8,71,1,26,24,16,159
9,74,2,2,25,16,159
10,74,4,0,25,16,159
11,78,4,28,1,16,159
12,87,6,0,28,16,159
13,93,6,32,2,16,159
14,102,6,39,4,16,159
15,109,6,6,44,16,159
16,120,6,53,8,16,159
17,129,7,16,0,16,159
18,138,7,23,1,16,159
19,147,8,3,0,16,159
20,159,8,14,1,16,159
1,3,0,0,3,16,159
2,13,0,8,0,16,159
3,18,1,4,1,16,159
4,25,1,2,8,16,159
5,47,1,18,8,16,159
6,64,1,22,21,16,159
7,68,1,24,23,16,159
8,71,1,26,24,16,159
9,74,2,2,25,16,159
10,74,4,0,25,16,159
11,78,4,28,1,16,159
12,87,6,0,28,16,159
13,93,6,32,2,16,159
14,102,6,39,4,16,159
15,109,6,6,44,16,159
16,120,6,53,8,16,159
17,129,7,16,0,16,159
18,138,7,23,1,16,159
19,147,8,3,0,16,159
20,159,8,14,1,16,159
1,6,0,5,1,16,160
2,10,0,6,3,16,160
3,20,0,7,12,16,160
4,31,0,22,8,16,160
5,41,0,23,17,16,160
6,51,1,5,18,16,160
7,55,1,7,20,16,160
8,63,1,13,21,16,160
9,68,1,23,16,16,160
10,75,1,22,24,16,160
11,79,1,26,24,16,160
12,89,1,32,28,16,160
13,99,1,41,29,16,160
14,120,1,49,42,16,160
15,128,1,48,50,16,160
16,131,1,50,51,16,160
17,150,1,68,52,16,160
18,160,1,76,54,16,160
1,7,0,6,0,16,206
2,17,0,10,6,16,206
3,42,0,30,11,16,206
4,53,0,22,30,16,206
5,67,0,30,35,16,206
6,79,0,37,40,16,206
7,85,0,43,40,16,206
8,90,0,46,42,16,206
9,91,2,0,0,16,206
10,93,2,1,1,16,206
11,97,2,3,3,16,206
12,102,2,6,5,16,206
13,118,2,19,8,16,206
14,130,2,29,10,16,206
15,136,3,15,1,16,206
16,152,3,28,4,16,206
17,159,3,6,29,16,206
18,174,4,7,37,16,206
19,196,4,58,8,16,206
20,206,5,64,10,16,206
1,7,0,6,0,16,206
2,17,0,10,6,16,206
3,42,0,30,11,16,206
4,53,0,22,30,16,206
5,67,0,30,35,16,206
6,79,0,37,40,16,206
7,85,0,43,40,16,206
8,90,0,46,42,16,206
9,91,2,0,0,16,206
10,93,2,1,1,16,206
11,97,2,3,3,16,206
12,102,2,6,5,16,206
13,118,2,19,8,16,206
14,130,2,29,10,16,206
15,136,3,15,1,16,206
16,152,3,28,4,16,206
17,159,3,6,29,16,206
18,174,4,7,37,16,206
19,196,4,58,8,16,206
20,206,5,64,10,16,206
1,7,0,1,6,16,196
2,16,0,8,7,16,196
3,35,0,27,7,16,196
4,43,0,34,8,16,196
5,56,0,19,35,16,196
6,72,0,21,49,16,196
7,86,0,50,34,16,196
8,98,0,61,35,16,196
9,112,0,64,46,16,196
10,117,0,46,69,16,196
11,133,0,52,76,16,196
12,134,1,0,77,16,196
13,145,2,3,0,16,196
14,145,2,3,0,16,196
15,158,2,7,8,16,196
